タイトル,音量,弱音の割合,テンポ,波形が0値をとる回数,85％を占める低音域の割合,1500Hz以上の音域の割合,不協和音の多さを示す値,音質の変化の大きさ,根音に従っていない音の量,主に使われている音,majorとminorの音量の差,オノマトペ,カテゴリ
ice_water_01,0.014557,0.69595,83.0305,2582.8544,11756.6242,0.81769,define,define,0.42531,E min,-0.064843,カラカラ,グラス
key_01,0.055698,0.7541,113.7686,10943.6338,16952.2705,0.99159,define,define,0.39849,G# maj,0.065567,チャラチャラ,金物
keyboard_01,0.044473,0.8,define,5373.6501,13016.6016,0.92059,define,define,0.49378,B min,-0.050073,カチ,パソコン
keyboard_02,0.033541,0.58715,176.0019,2940.1478,12113.4338,0.90802,define,define,0.48515,C maj,0.0013233,カタカタ,パソコン
kitchen_gas_01,0.028197,0.59374,128.3451,1640.5983,13204.9255,0.71051,define,define,0.464,G# maj,0.060772,チチチチ,コンロ
letter_box_01,0.065886,0.81818,73.427,1375.2778,15129.2725,0.8249,define,define,0.47624,F maj,0.11609,パタン,ポスト
lighter_01,0.04401,0.78462,175.5745,2148.5871,10393.1351,0.96355,define,define,0.4928,G# maj,0.1356,シュッシュ,ライター
magic_tape_01,0.067099,0.5,define,5419.823,11442.2058,0.82438,define,define,0.49646,D min,-0.17197,ビリビリ,布
match_01,0.028795,0.66038,142.0719,4622.871,14197.11,0.78863,define,define,0.4985,G maj,0.039731,ボー,マッチ
match_02,0.035575,0.70303,112.1512,3537.8793,14347.6742,0.8811,define,define,0.48987,D maj,0.11627,カサカサ,マッチ
match_03,0.033618,0.75598,126.1871,2430.6033,10811.3503,0.88841,define,define,0.48152,D maj,0.082455,カサカサ,マッチ
match_04,0.033642,0.625,195.6905,3303.0792,8696.0495,0.69304,define,define,0.49758,D min,-0.22115,ボー,マッチ
match_05,0.035665,0.87654,97.6625,728.3784,7741.1865,0.85391,define,define,0.49105,A min,-0.08165,チッチ,マッチ
money_box_01,0.037335,0.78378,166.8946,2842.1388,14745.5338,0.8874,define,define,0.47332,D min,-0.091336,カシャン,金物
motor_01,0.14976,0.475,161.7967,5437.053,11609.0881,0.98997,define,define,0.47485,G# min,-0.068149,ウィーン,機械
motor_02,0.13508,0.632,147.6516,5590.1653,11705.4829,0.99017,define,define,0.46821,A# min,-0.097911,ウィーン,機械
motor_03,0.14122,0.61905,147.5936,5597.0616,11601.0132,0.99105,define,define,0.49133,D# maj,0.048849,ウィーン,機械
motor_04,0.14748,0.6,define,5510.2041,11350.6897,0.98498,define,define,0.49328,G# min,-0.16273,ウィーン,機械
noise_01,0.042503,0.5736,133.3488,164.1756,13021.8681,0.64237,define,define,0.4286,B min,-0.069407,ザー,人工
opening_01,0.040156,0.7027,156.293,1158.0543,13074.4629,0.7489,define,define,0.48354,G# maj,0.013816,カッチャン,ドア
opening_02,0.064575,0.7619,83.9449,715.5872,10127.5635,0.45724,define,define,0.48098,A maj,0.11857,ガチャ,ドア
opening_03,0.059331,0.61224,182.0473,845.77,6333.9844,0.53415,define,define,0.48435,G# maj,0.17825,ガチャン,ドア
opening_04,0.026958,0.82609,98.4274,1284.8082,11102.7832,0.75589,define,define,0.48326,G min,-0.059196,カチャ,ドア
opening_05,0.037552,0.8125,101.2416,557.9309,8165.7715,0.40513,define,define,0.43853,A min,-0.08801,カチャ,ドア
opening_06,0.028373,0.65306,107.714,1718.9776,11115.1703,0.71839,define,define,0.46739,F min,-0.13811,カサカサ,ドア
opening_07,0.033142,0.52,190.9332,422.4676,3851.0742,0.371,define,define,0.38962,D min,-0.30202,カチャ,ドア
opening_08,0.075544,0.775,143.3022,2284.8623,12232.9102,0.56328,define,define,0.46556,C# min,-0.18216,スー,ドア
opening_a_soda_can_01,0.058711,0.75,80.2789,3673.9612,13976.4404,0.90825,define,define,0.46441,C maj,0.014111,シュー,缶
opening_a_soda_can_02,0.09463,0.54107,184.5688,4181.9634,15595.2759,0.81238,define,define,0.47852,G maj,0.072845,シュー,缶
paper_01,0.09334,0.45,define,9395.4878,14537.1094,0.9594,define,define,0.50042,E min,-0.1569,ビリビリ,紙
paper_02,0.066811,0.54887,74.1876,7614.907,14701.355,0.94383,define,define,0.49934,C# maj,0.029165,ビリビリ,紙
paper_03,0.024374,0.52047,117.189,5332.0829,12946.3337,0.86692,define,define,0.49505,E maj,0.1533,ぐちゃぐちゃ,紙
paper_04,0.018028,0.55689,117.3528,5149.5326,12936.4082,0.89674,define,define,0.49493,E maj,0.060393,ぐちゃぐちゃ,紙
paper_05,0.037195,0.59099,75.2693,5807.1234,13838.1042,0.84436,define,define,0.49126,C# maj,0.029911,ガサガサ,紙
paper_06,0.025308,0.61111,91.1663,2007.4073,10941.2842,0.8017,define,define,0.47723,D# maj,0.12971,パラパラ,紙
paper_07,0.026648,0.65714,142.9259,3045.5616,10469.9707,0.78917,define,define,0.4753,C# maj,0.035434,パラ,紙
paper_08,0.028119,0.68452,145.4575,3498.4069,11312.439,0.7766,define,define,0.48774,G# min,-0.017333,パラパラ,紙
paper_09,0.034925,0.66038,96.8484,3253.11,12156.1661,0.77148,define,define,0.49438,A# min,-0.098009,パラ,紙
phoning_01,0.30425,0.48454,112.6022,3200.375,2367.9794,0.33006,define,define,0.42167,B min,-0.0048458,ピピピピ,電話
phoning_02,0.36459,0.38806,164.1224,3350.4941,2396.2418,0.32571,define,define,0.42075,B min,-0.0011345,ピピピピ,電話
phoning_03,0.16373,0.49999,60.0064,1062.6692,2817.7374,0.39598,define,define,0.24447,G min,-0.098446,プープー,電話
phoning_04,0.087714,0.62345,166.0526,4576.712,3230.072,0.7512,define,define,0.43847,G min,-0.047236,プルルル,電話
phoning_05,0.23176,0.23785,101.4557,442.4063,3243.8593,0.57309,define,define,0.3404,G min,-0.1046,プー,電話
polishing_01,0.056166,0.77273,77.1784,1097.4819,2473.2903,0.25893,define,define,0.32592,D# maj,0.00086705,キュッキュ,食器
pot_01,0.048719,0.82609,define,2551.6716,7734.375,0.69814,define,define,0.42026,B maj,0.11843,ポン,食器
pot_02,0.06335,0.5,define,1519.7312,8056.6406,0.6307,define,define,0.46654,E min,-0.11008,ポン,食器
pouring_01,0.054111,0.5858,168.8679,3536.3003,14794.5557,0.66726,define,define,0.42379,C maj,0.070603,シュオー,水
pouring_02,0.038867,0.64607,109.8131,1750.9412,9788.439,0.65736,define,define,0.45663,G# min,-0.017658,トクトク,水
pouring_03,0.034024,0.62656,183.6002,4355.6594,13091.217,0.61982,define,define,0.46311,G maj,0.01874,シュオー,水
pouring_04,0.046861,0.65241,131.4293,1320.078,8775.4532,0.61993,define,define,0.47212,F min,-0.047765,シュワー,水
pouring_05,0.046772,0.59178,172.6794,990.9349,7689.0564,0.54438,define,define,0.46259,D min,-0.069886,シュワー,水
pouring_06,0.040183,0.60877,109.1829,2609.1571,11812.8965,0.7196,define,define,0.48533,C# maj,0.031877,シュオー,水
power_point_01,0.075826,0.71739,122.1744,504.1227,10883.6884,0.53252,define,define,0.453,B min,-0.025942,トン,コンセント
power_point_02,0.067017,0.63636,define,573.048,7442.4133,0.41348,define,define,0.48043,B min,-0.0080087,トン,コンセント
pulling_01,0.20052,0.47222,181.1985,505.8795,704.5898,0.078594,define,define,0.47388,A# min,-0.024341,ズズズズ,人の動作
putting_01,0.073668,0.66667,define,495.8615,1804.6875,0.18719,define,define,0.48751,F# min,-0.042271,カタン,人の動作
putting_02,0.06292,0.7619,168.2621,505.084,1237.4863,0.10597,define,define,0.42805,G# min,-0.029083,トントン,人の動作
putting_03,0.082977,0.75,define,462.0986,9994.6289,0.44477,define,define,0.41913,A maj,0.009295,カタン,人の動作
putting_04,0.112,0.76923,define,723.876,6550.7812,0.37654,define,define,0.48548,D maj,0.01786,パン,人の動作
putting_05,0.077518,0.73529,183.4035,450.8575,2818.8309,0.24081,define,define,0.44805,D# maj,0.13984,トン,人の動作
putting_06,0.035737,0.6,define,1348.4108,6660.6445,0.68068,define,define,0.49013,G# maj,0.015551,カタン,人の動作
putting_07,0.050539,0.72973,168.8809,577.3585,8728.2715,0.44726,define,define,0.39999,G# min,-0.00022164,パタン,人の動作
putting_08,0.068242,0.79167,define,766.9826,818.8477,0.093647,define,define,0.39658,D# maj,0.050338,トン,人の動作
putting_09,0.054584,0.63636,define,11321.2135,15544.281,0.98243,define,define,0.50762,A# maj,0.11971,カチャ,人の動作
putting_10,0.019079,0.64286,define,3388.8647,15814.4531,0.73363,define,define,0.44822,C# min,-0.051908,チャラン,人の動作
putting_11,0.03319,0.76,define,1523.9529,3269.5312,0.40683,define,define,0.41371,G min,-0.047858,コン,人の動作
putting_12,0.060826,0.76923,define,2097.7695,3578.6133,0.72901,define,define,0.40728,G# min,-0.031599,キン,人の動作
putting_13,0.035607,0.75,define,1933.8927,5262.4512,0.69571,define,define,0.48857,G maj,0.12629,カッコン,人の動作
putting_14,0.043642,0.66667,define,773.4413,1538.0859,0.15564,define,define,0.42528,A# min,-0.16726,コン,人の動作
putting_15,0.0512,0.66667,define,1274.6074,6083.1299,0.77346,define,define,0.48086,G min,-0.15011,カチャン,人の動作
putting_16,0.038334,0.86813,70.9646,879.3196,6192.4782,0.62619,define,define,0.47381,C min,-0.00028089,カチャン,人の動作
putting_17,0.11416,0.8,define,812.1857,1350.5859,0.13464,define,define,0.39888,B min,-0.13194,コン,人の動作
putting_18,0.048392,0.81967,113.3051,900.3269,1621.3829,0.17745,define,define,0.44527,G# min,-0.096655,コトン,人の動作
putting_19,0.042377,0.70833,define,1312.1584,2223.3032,0.24427,define,define,0.45658,A# min,-0.18613,カーン,人の動作
putting_20,0.046439,0.6129,186.5892,1325.973,5143.7439,0.27167,define,define,0.4514,C# maj,0.096056,コンコン,人の動作
radio_01,0.089994,0.50077,76.4307,1489.7786,3094.8933,0.51355,define,define,0.43722,A# min,-0.054946,ジー,人工
rain_01,0.092885,0.5863,106.5928,5410.3716,9974.0788,0.86299,define,define,0.49743,F# maj,0.067036,ザー,水
reciever_01,0.045585,0.63158,define,3411.0051,13302.2461,0.76453,define,define,0.47698,A# min,-0.16034,カチャ,人の動作
reciever_02,0.056105,0.75,define,1751.2839,9966.7969,0.68,define,define,0.50713,F# min,-0.051803,カッチャン,人の動作
roast_01,0.083281,0.60001,98.1962,10341.0119,15227.7597,0.96275,define,define,0.49839,F maj,0.11701,ジュージュー,料理
roll_01,0.05748,0.57037,80.7778,1145.3252,7964.4253,0.5758,define,define,0.4511,F maj,0.0031946,シュッシュ,落下
roll_02,0.021387,0.67123,151.8783,1465.1645,6659.9121,0.77471,define,define,0.47832,F maj,0.034757,カラカラ,落下
roll_03,0.022315,0.44262,122.9336,4441.0789,10869.2207,0.79214,define,define,0.47207,D# maj,0.000796,カラン,落下
roll_04,0.039674,0.73333,118.0783,2003.1326,9316.04,0.86853,define,define,0.47045,B min,-0.052305,コンコロコン,落下
scale_01,0.046274,0.73874,155.9574,1277.6191,13149.353,0.69581,define,define,0.46549,D min,-0.020283,ガチャ,体重計
scale_02,0.029173,0.72222,97.9177,2336.7277,12576.2329,0.7701,define,define,0.4949,C# min,-0.09145,ガチャ,体重計
scissoring_papers_01,0.03077,0.58046,133.7586,3866.841,14542.4194,0.89117,define,define,0.46812,A# maj,0.11833,ジョキジョキ,文房具
scissors_01,0.047396,0.83333,define,4200.1829,14151.8555,0.96543,define,define,0.47985,D min,-0.0036287,チョキ,文房具
scissors_02,0.040516,0.75,114.6378,4456.9981,15016.1133,0.97605,define,define,0.47365,A min,-0.1104,チョキチョキ,文房具
scissors_03,0.055828,0.69231,124.985,8910.7807,14855.8914,0.96219,define,define,0.44052,G# maj,0.095224,チョキチョキ,文房具
scissors_04,0.048731,0.75,define,7855.1046,14820.2271,0.95848,define,define,0.45115,A maj,0.079563,チョキ,文房具
sello_tape_01,0.025818,0.68354,178.7973,3700.5319,13872.0703,0.92136,define,define,0.47998,G maj,0.020169,ガー,文房具
shaking_01,0.054874,0.63158,132.5735,3743.7768,8876.2207,0.81337,define,define,0.47154,F min,-0.11427,カシャカシャ,人の動作
shaking_02,0.055561,0.58065,define,9869.8893,17282.959,0.97979,define,define,0.50275,A maj,0.045142,カシャカシャ,人の動作
shaking_03,0.046251,0.64706,define,941.3215,9520.752,0.5091,define,define,0.47063,F maj,0.089766,カラカラ,人の動作
shaking_04,0.061826,0.72881,164.0501,6961.6522,13386.9232,0.6567,define,define,0.4785,D maj,0.012479,パンパン,人の動作
sitting_01,0.10466,0.7541,176.1166,1059.4961,13362.3047,0.50359,define,define,0.32256,C# min,-0.0294,スー,人の動作
sitting_02,0.093441,0.60811,130.0196,747.3929,8079.7119,0.26091,define,define,0.33286,D min,-0.082008,スー,人の動作
sliding_01,0.13572,0.6129,152.1292,474.1021,1870.3606,0.17002,define,define,0.48035,C min,-0.092479,バタン,落下
socket_01,0.063259,0.63682,177.0039,728.4506,10274.366,0.38758,define,define,0.49185,G# maj,0.11166,ガサガサ,人の動作
socket_02,0.04269,0.70526,121.4821,1112.0254,10819.7617,0.43621,define,define,0.4908,G# maj,0.016717,ガサガサ,人の動作
spray_01,0.052082,0.53846,define,5172.7358,14475.6958,0.9589,define,define,0.49925,G maj,0.065625,シュ,スプレー
spray_02,0.046294,0.51852,define,5157.213,14538.9496,0.94616,define,define,0.4961,G# min,-0.039665,シュッシュ,スプレー
spray_03,0.12412,0.52046,116.5393,9509.8625,15037.9944,0.96744,define,define,0.49369,B maj,0.06125,シュー,スプレー
staple_01,0.031404,0.66667,define,4462.4295,14611.8164,0.83049,define,define,0.48898,C# min,-0.08964,パタパタ,文房具
striking_01,0.096138,0.70286,183.3423,222.3914,1042.0052,0.084451,define,define,0.46938,G# maj,0.12979,トントン,ドア
swish_01,0.027054,0.52344,81.603,4155.9309,14580.8716,0.74528,define,define,0.47356,F maj,0.16241,スースー,布
switch_01,0.043958,0.6,define,5988.3608,13695.1172,0.95339,define,define,0.49518,B min,-0.12752,チッ,スイッチ
switch_02,0.072919,0.83333,define,2166.9074,13014.1296,0.79156,define,define,0.44218,A maj,0.080671,パチ,スイッチ
switch_03,0.071091,0.81481,define,2129.6243,12705.3223,0.70755,define,define,0.48686,F# min,-0.082799,カチャ,スイッチ
switch_04,0.028608,0.85455,151.4463,5601.5557,12258.9111,0.80153,define,define,0.48471,A min,-0.081144,カッチャン,スイッチ
switch_05,0.027977,0.77922,90.1789,3916.7468,13348.7549,0.87105,define,define,0.49079,E maj,0.005245,カチャカチャ,スイッチ
switch_06,0.04468,0.75,define,2337.8494,10063.4766,0.89828,define,define,0.4626,B min,-0.044386,パチ,スイッチ
switch_07,0.026103,0.77778,define,2943.5377,12691.1316,0.8048,define,define,0.47894,B min,-0.21366,バチ,スイッチ
taking_01,0.042035,0.67647,148.597,2875.8769,12131.6048,0.73866,define,define,0.46939,D# maj,0.0027378,ガチャガチャ,人の動作
tea_with_a_spoon_01,0.0091617,0.64935,136.6555,2724.842,14653.656,0.94096,define,define,0.45365,D# min,-0.088374,カランカラン,グラス
tissue_01,0.10397,0.75,define,1652.4629,12953.6133,0.63803,define,define,0.43521,D min,-0.093153,シュッ,ティッシュ
toaster_01,0.044698,0.82353,152.8924,2136.0975,13853.0273,0.80066,define,define,0.48166,C# maj,0.10542,ガシャン,トースター
vibration_01,0.27549,0.29846,133.334,493.9063,5382.7515,0.51656,define,define,0.40391,D# min,-0.0072262,ウィーン,機械
vibration_02,0.078989,0.33766,69.3838,464.9321,4551.2695,0.44967,define,define,0.36878,G# min,-0.10292,ウィーン,機械
vibration_03,0.19861,0.5641,60.4876,213.9485,1081.5388,0.14474,define,define,0.18085,G# min,-0.063447,ブーブー,機械
washing_machine_01,0.28146,0.52047,193.3055,307.8279,8287.0789,0.34759,define,define,0.5091,G# min,-0.044217,ウィーン,洗濯機
washing_machine_02,0.61875,0.50693,131.8935,217.5935,1744.0796,0.16878,define,define,0.48953,C# min,-0.005748,ウィーン,洗濯機
water_01,0.094194,0.52593,107.7661,8012.2918,13402.2217,0.92739,define,define,0.49182,F maj,0.035547,ジャー,水
water_02,0.045552,0.3481,154.0664,7862.1374,14796.8433,0.93241,define,define,0.50446,G min,-0.1369,シュー,水
water_03,0.041619,0.34673,127.4685,6280.7164,14397.3015,0.92739,define,define,0.50321,D# min,-0.031907,シュー,水
water_04,0.042516,0.38146,146.7425,5954.2368,14579.6608,0.93182,define,define,0.49769,D# maj,0.028894,シュー,水
water_05,0.082641,0.60861,42.1721,4134.1285,13248.5962,0.75702,define,define,0.48394,E min,-0.078304,ジャー,水
water_06,0.065424,0.63437,78.8022,1187.8958,3073.2422,0.35663,define,define,0.46765,E min,-0.16029,ジャー,水
water_07,0.14189,0.48681,124.3238,9242.5529,15249.115,0.9656,define,define,0.4978,B min,-0.037139,ジャージャー,水
water_08,0.1028,0.53406,110.1449,5432.6373,13719.0857,0.81855,define,define,0.49274,A maj,0.0074472,ジャー,水
water_09,0.10118,0.55703,117.4987,2581.1959,9569.458,0.68128,define,define,0.48935,A maj,0.025034,ジャー,水
water_10,0.10487,0.56382,117.3334,970.9006,4570.9534,0.34802,define,define,0.44969,C# min,-0.1168,ゴー,水
water_11,0.037103,0.62747,76.7375,3923.0957,12705.7674,0.87124,define,define,0.49601,F min,-0.010274,バシャバシャ,水
wave_01,0.20184,0.51376,168.6258,1426.2881,4318.3325,0.46528,define,define,0.49593,D min,-0.036298,ザー,水
zenmai_01,0.030392,0.63218,160.2703,4721.1283,13899.3462,0.93834,define,define,0.49325,F min,-0.053106,ガチガチ,機械
zipper_01,0.11251,0.44068,180.3451,2018.8297,13264.5264,0.57161,define,define,0.47737,F min,-0.11188,ジー,ジッパー
zipper_02,0.12198,0.46667,133.551,2543.4033,13419.4336,0.57377,define,define,0.476,A# maj,0.043247,ジー,ジッパー
